cluster,Web,Other,Network_Services,File_Transfer,Email,System_Infrastructure,Remote_Access,Diagnostics,Unknown
0,0.054706470504213685,0.45293529495786317,0.12769604342236823,0.08827310384230824,0.06184830738465934,0.0692758177403228,0.08098843022425367,0.032423939437223256,0.0318525924867876
1,0.7172563319207648,0.014979796984330345,0.017345028087119345,0.09391938503991328,0.13945008376860155,0.0,0.014684143096481719,9.855129594954174e-05,0.00226667980683946
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,0.18747896331201616,0.5089195557051498,0.07842477280376978,0.052507573207674185,0.04308313699091215,0.041400201952204646,0.04039044092898014,0.023897677549646584,0.023897677549646584
4,0.0,0.0,0.0,0.9956709956709957,0.0,0.0,0.004329004329004329,0.0,0.0
5,0.008519701810436636,0.02875399361022364,0.011714589989350373,0.014909478168264111,0.003194888178913738,0.8977635782747604,0.029818956336528223,0.0,0.005324813631522897
6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,0.0,0.4617360041088855,0.43605546995377503,0.04365690806368772,0.0035952747817154596,0.01694915254237288,0.0017976373908577298,0.034411915767847974,0.0017976373908577298
