,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
Cluster_0,3.9261204315437204,-1.5367796866130583,0.048243438081148546,0.06069273465120219,0.11464418249241236,-0.3286388578111038,-0.11872464481587539,0.10824906807057767,-0.02264406128190267,0.020078682765053223,0.036433254669000326,0.0056752730838955335,0.005895047776912245,-0.029929365803893927,-0.041481074085939054,-0.051087723273334704,-0.0421471064465087,0.007547927371425975,0.10222066712301,-0.020075723976691745
Cluster_1,-2.447451963072384,-0.6471538774320897,-0.01802311348651922,-0.5450020946661069,-0.08050801329013572,-0.5340463587357511,0.26231740690239413,-0.03677562578554745,0.009377323402189205,0.05673911897224513,-0.03777966977607922,0.01639708972328218,-0.014188746870094594,0.01233153353252675,-0.0036705260880394376,-0.001707208571703528,-0.025815105470711256,-0.011037682351175198,0.09038478893769476,0.20725483076860776
Cluster_2,-3.3004749367429995,1.7139466306964755,95.38508515122206,0.05666831362659201,-3.214461358299786,0.9065781157107909,-2.297704856472525,-3.154700999771186,-6.336037576488607,0.031710741591438815,1.5893345638747083,-0.3151203064032291,-0.3793246882346937,-0.18399540004142206,-0.4597901257020139,-0.49029481949119263,2.462720283314215,7.239167424163726,0.11124329424140719,-0.06968608358505289
Cluster_3,1.2211502525860929,5.759007539710014,-0.11326015982210029,-0.47831069445790064,-0.1741660316705026,-0.48391692505050204,-0.5149146436838333,0.17019740415071374,-0.00626661952852853,-0.03481383172305158,0.04846359309056858,0.029758435734232137,0.01534350555935252,0.004696527747608232,-0.02343225869671571,0.008957206301882082,-0.0020489798451947205,0.006333069008834685,0.045609307668716646,-0.01552372250498134
Cluster_4,-1.6508030560970994,-0.35476304788853674,0.14484405065300385,-5.524781323813544,10.694762653796309,6.152600071474489,-2.465891645118083,-0.25875442074636956,-0.36980386330660725,0.1424667526996725,0.33115698690197204,-0.1922122847670855,0.023958579711562226,-0.02315655194850438,0.1014204732263739,-0.277893980238452,0.06914643536481331,0.08079742719153103,0.3494392775284136,-0.20509147523470914
Cluster_5,-2.6150422034602157,0.12075833143499051,-0.046550858658504425,5.056959600653613,1.988209310295165,-0.608493196647172,-1.5289083877086822,-0.3204023710434505,0.08381436296072714,0.04880997997269238,-0.13721125002431372,-0.08427915356001743,0.22590273020348464,-0.04433315322421046,0.1265587983549789,0.4234809810934675,0.13792985940683042,-0.01033999638794797,0.09764316228835722,-0.7670809055250188
Cluster_6,-1.1663151612491902,-0.2560017321335606,13.416637919345447,-1.6196279451326343,1.3115759577785202,0.6490945706623379,2.313129460215697,2.4528109772282862,141.17176106720945,6.168862368736503,46.567820368867125,-43.84056310999133,4.230278082365536,0.3840753211567793,5.356289284771098,-16.846123338894902,14.82048740759431,31.756082194470558,3.458707681548328,-0.7624725315714002
Cluster_7,-0.8724141677371802,0.04598713185563362,-0.15054214420781742,0.7886999536006281,-0.9738048261224386,2.139649037068991,0.44241487982778493,-0.1304713385665502,-0.00048312303981474494,-0.17998882354389603,-0.005715940967525856,-0.032154107519414006,-0.04161928933556143,0.030492513950240947,0.06526798185014042,0.009198911045017728,0.09876451664157827,-0.01497968655531715,-0.5013207807736513,-0.2961992891261547
